club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Chelsea FC,Chris Sutton,26,Centre-Forward,Blackburn,€15.00m,Transfer,in,Summer,15,1999,1999/2000
Chelsea FC,Gabriele Ambrosetti,25,Left Midfield,Vicenza,€4.89m,Transfer,in,Summer,4.89,1999,1999/2000
Chelsea FC,Didier Deschamps,30,Defensive Midfield,Juventus,€2.00m,Transfer,in,Summer,2,1999,1999/2000
Chelsea FC,Jes Högh,33,Centre-Back,Fenerbahce,€470Th.,Transfer,in,Summer,0.47,1999,1999/2000
Chelsea FC,Mario Melchiot,22,Right-Back,Ajax,free transfer,Transfer,in,Summer,0,1999,1999/2000
Chelsea FC,Stuart Reddington,21,defence,Lincoln United,?,Transfer,in,Summer,NA,1999,1999/2000
Chelsea FC,Carlo Cudicini,25,Goalkeeper,Castel di Sangro,loan transfer,Loan,in,Summer,NA,1999,1999/2000
Chelsea FC,Leon Knight,16,Centre-Forward,Chelsea U18,-,Transfer,in,Summer,NA,1999,1999/2000
Chelsea FC,Samuele Dalla Bona,18,Central Midfield,Chelsea U18,-,Transfer,in,Summer,NA,1999,1999/2000
Chelsea FC,Danny Slatter,18,midfield,Chelsea U18,-,Transfer,in,Summer,NA,1999,1999/2000
Chelsea FC,Joe Keenan,16,Left-Back,Chelsea U18,-,Transfer,in,Summer,NA,1999,1999/2000
Chelsea FC,John Terry,19,Centre-Back,Nottm Forest,"End of loanMay 31, 2000",Loan,in,Summer,NA,1999,1999/2000
Chelsea FC,Mark Nicholls,22,Centre-Forward,Grimsby Town,"End of loanMay 8, 2000",Loan,in,Summer,NA,1999,1999/2000
Chelsea FC,Michael Duberry,23,Centre-Back,Leeds,€6.75m,Transfer,out,Summer,6.75,1999,1999/2000
Chelsea FC,Andy Myers,25,Left-Back,Bradford,free transfer,Transfer,out,Summer,0,1999,1999/2000
Chelsea FC,Dmitri Kharin,30,Goalkeeper,Celtic,free transfer,Transfer,out,Summer,0,1999,1999/2000
Chelsea FC,Stuart Reddington,22,defence,Kalmar FF,loan transfer,Loan,out,Summer,NA,1999,1999/2000
Chelsea FC,Eddie Newton,27,Defensive Midfield,Birmingham,?,Transfer,out,Summer,NA,1999,1999/2000
Chelsea FC,Gianluca Vialli,34,Centre-Forward,Retired,-,Transfer,out,Summer,NA,1999,1999/2000
Chelsea FC,Carlo Cudicini,26,Goalkeeper,Castel di Sangro,"End of loanMay 1, 2000",Loan,out,Summer,NA,1999,1999/2000
Sheffield Wednesday,Gilles De Bilde,28,Centre-Forward,PSV Eindhoven,€5.00m,Transfer,in,Summer,5,1999,1999/2000
Sheffield Wednesday,Gerald Sibon,25,Centre-Forward,Ajax,€3.00m,Transfer,in,Summer,3,1999,1999/2000
Sheffield Wednesday,Simon Donnelly,24,Right Winger,Celtic,free transfer,Transfer,in,Summer,0,1999,1999/2000
Sheffield Wednesday,Phil O'Donnell,27,Central Midfield,Celtic,free transfer,Transfer,in,Summer,0,1999,1999/2000
Sheffield Wednesday,Alex Higgins,17,midfield,Unknown,?,Transfer,in,Summer,NA,1999,1999/2000
Sheffield Wednesday,Steve Haslam,19,Right-Back,Sheff Wed U18,-,Transfer,in,Summer,NA,1999,1999/2000
Sheffield Wednesday,Tony Crane,16,defence,Sheff Wed U18,-,Transfer,in,Summer,NA,1999,1999/2000
Sheffield Wednesday,Junior Agogo,20,Centre-Forward,Oldham Athletic,"End of loanAug 1, 1999",Loan,in,Summer,NA,1999,1999/2000
Sheffield Wednesday,Junior Agogo,20,Centre-Forward,Chester City,"End of loanOct 1, 1999",Loan,in,Summer,NA,1999,1999/2000
Sheffield Wednesday,Ritchie Humphreys,21,Defensive Midfield,Scunthorpe Utd.,"End of loanSep 1, 1999",Loan,in,Summer,NA,1999,1999/2000
Sheffield Wednesday,Matt Clarke,25,Goalkeeper,Bradford,free transfer,Transfer,out,Summer,0,1999,1999/2000
Sheffield Wednesday,Dejan Stefanovic,24,Centre-Back,OFK Beograd,free transfer,Transfer,out,Summer,0,1999,1999/2000
Sheffield Wednesday,Neil Sykes,24,Left Midfield,Central United,free transfer,Transfer,out,Summer,0,1999,1999/2000
Sheffield Wednesday,Guy Whittingham,34,Centre-Forward,Portsmouth,free transfer,Transfer,out,Summer,0,1999,1999/2000
Sheffield Wednesday,Junior Agogo,19,Centre-Forward,Oldham Athletic,loan transfer,Loan,out,Summer,NA,1999,1999/2000
Sheffield Wednesday,Ritchie Humphreys,21,Defensive Midfield,Scunthorpe Utd.,loan transfer,Loan,out,Summer,NA,1999,1999/2000
Sheffield Wednesday,Junior Agogo,20,Centre-Forward,Chester City,loan transfer,Loan,out,Summer,NA,1999,1999/2000
Sheffield Wednesday,Francesco Sanetti,20,Second Striker,AS Livorno,?,Transfer,out,Summer,NA,1999,1999/2000
Sheffield Wednesday,Benny Carbone,27,Second Striker,Aston Villa,?,Transfer,out,Summer,NA,1999,1999/2000
Sheffield Wednesday,Juan Cobian,23,Right-Back,Charlton,?,Transfer,out,Summer,NA,1999,1999/2000
Sheffield Wednesday,Barry Richardson,30,Goalkeeper,Lincoln City,"End of loanMay 1, 2000",Loan,out,Summer,NA,1999,1999/2000
Bradford City,David Wetherall,28,Centre-Back,Leeds,€2.10m,Transfer,in,Summer,2.1,1999,1999/2000
Bradford City,Lee Sharpe,28,Left Midfield,Leeds,€300Th.,Transfer,in,Summer,0.3,1999,1999/2000
Bradford City,Neil Redfearn,34,Central Midfield,Charlton,€287Th.,Transfer,in,Summer,0.287,1999,1999/2000
Bradford City,Andy Myers,25,Left-Back,Chelsea,free transfer,Transfer,in,Summer,0,1999,1999/2000
Bradford City,Dean Saunders,35,Centre-Forward,Benfica,free transfer,Transfer,in,Summer,0,1999,1999/2000
Bradford City,Matt Clarke,25,Goalkeeper,Sheff Wed,free transfer,Transfer,in,Summer,0,1999,1999/2000
Bradford City,Bruno Rodriguez,26,Centre-Forward,Paris SG,loan transfer,Loan,in,Summer,NA,1999,1999/2000
Bradford City,Gunnar Halle,33,Right-Back,Leeds,?,Transfer,in,Summer,NA,1999,1999/2000
Bradford City,Scott Kerr,17,Central Midfield,Bradford U18,-,Transfer,in,Summer,NA,1999,1999/2000
Bradford City,Isaiah Rankin,21,Centre-Forward,Birmingham,"End of loanMay 1, 2000",Loan,in,Summer,NA,1999,1999/2000
Bradford City,Mark Bower,20,Centre-Back,York City,"End of loanMay 8, 2000",Loan,in,Summer,NA,1999,1999/2000
Bradford City,Lee Todd,27,Left-Back,Walsall,"End of loanSep 30, 1999",Loan,in,Summer,NA,1999,1999/2000
Bradford City,Gordon Watson,28,Centre-Forward,Bournemouth,free transfer,Transfer,out,Summer,0,1999,1999/2000
Bradford City,Lee Todd,27,Left-Back,Walsall,loan transfer,Loan,out,Summer,NA,1999,1999/2000
Bradford City,Robert Steiner,26,attack,QPR,?,Transfer,out,Summer,NA,1999,1999/2000
Bradford City,Craig Ramage,29,Central Midfield,Notts County,?,Transfer,out,Summer,NA,1999,1999/2000
Bradford City,Mark Prudhoe,35,Goalkeeper,Darlington,loan transfer,Loan,out,Summer,NA,1999,1999/2000
Bradford City,Bruno Rodriguez,26,Centre-Forward,Paris SG,"End of loanOct 22, 1999",Loan,out,Summer,NA,1999,1999/2000
Watford FC,Nordin Wooter,22,Right Winger,Real Zaragoza,€1.40m,Transfer,in,Summer,1.4,1999,1999/2000
Watford FC,Charlie Miller,23,Attacking Midfield,Rangers,free transfer,Transfer,in,Summer,0,1999,1999/2000
Watford FC,Richard Johnson,25,midfield,Weston-super-M.,free transfer,Transfer,in,Summer,0,1999,1999/2000
Watford FC,Dominic Foley,22,Centre-Forward,Wolves,free transfer,Transfer,in,Summer,0,1999,1999/2000
