club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Sheffield Wednesday,Roland Nilsson,30,Right-Back,Helsingborg,?,Transfer,out,Summer,NA,1994,1994/1995
Sheffield Wednesday,Trevor Francis,40,Centre-Forward,Retired,-,Transfer,out,Summer,NA,1994,1994/1995
Leicester City,Mark Draper,23,Central Midfield,Notts County,€1.88m,Transfer,in,Summer,1.88,1994,1994/1995
Leicester City,Franz Carr,28,Right Winger,Sheff Utd,€120Th.,Transfer,in,Summer,0.12,1994,1994/1995
Leicester City,Franz Carr,27,Right Winger,Sheff Utd,loan transfer,Loan,in,Summer,NA,1994,1994/1995
Leicester City,Julian Joachim,19,Centre-Forward,Leicester Res.,-,Transfer,in,Summer,NA,1994,1994/1995
Leicester City,Sam McMahon,18,Right Midfield,Leicester U18,-,Transfer,in,Summer,NA,1994,1994/1995
Leicester City,Russell Hoult,21,Goalkeeper,Lincoln City,"End of loanOct 1, 1994",Loan,in,Summer,NA,1994,1994/1995
Leicester City,Ian Ormondroyd,30,attack,Hull City,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Leicester City,David Oldfield,27,Left Midfield,Millwall,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Leicester City,Gary Mills,32,Right-Back,Notts County,€60Th.,Transfer,out,Summer,0.06,1994,1994/1995
Leicester City,Colin Gibson,34,Left-Back,Blackpool,free transfer,Transfer,out,Summer,0,1994,1994/1995
Leicester City,Russell Hoult,21,Goalkeeper,Lincoln City,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Leicester City,David Speedie,34,Centre-Forward,Crawley Town,?,Transfer,out,Summer,NA,1994,1994/1995
Leicester City,Franz Carr,28,Right Winger,Sheff Utd,"End of loanOct 10, 1994",Loan,out,Summer,NA,1994,1994/1995
Wimbledon FC,Efan Ekoku,27,Centre-Forward,Norwich,€750Th.,Transfer,in,Summer,0.75,1994,1994/1995
Wimbledon FC,Mick Harford,35,Centre-Forward,Coventry,€55Th.,Transfer,in,Summer,0.055,1994,1994/1995
Wimbledon FC,Lutz Pfannenstiel,21,Goalkeeper,Penang,?,Transfer,in,Summer,NA,1994,1994/1995
Wimbledon FC,Alan Reeves,26,Centre-Back,Rochdale,?,Transfer,in,Summer,NA,1994,1994/1995
Wimbledon FC,Andy Thorn,27,Centre-Back,Crystal Palace,?,Transfer,in,Summer,NA,1994,1994/1995
Wimbledon FC,Brendan Murphy,18,Goalkeeper,Bradford,?,Transfer,in,Summer,NA,1994,1994/1995
Wimbledon FC,Steve Anthrobus,25,Centre-Forward,Peterborough,"End of loanJun 30, 1994",Loan,in,Summer,NA,1994,1994/1995
Wimbledon FC,Aidan Newhouse,23,attack,Portsmouth,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Wimbledon FC,Justin Skinner,22,Left-Back,Wycombe,"End of loanSep 26, 1994",Loan,in,Summer,NA,1994,1994/1995
Wimbledon FC,John Scales,28,Centre-Back,Liverpool,€4.10m,Transfer,out,Summer,4.1,1994,1994/1995
Wimbledon FC,John Fashanu,31,Centre-Forward,Aston Villa,€1.62m,Transfer,out,Summer,1.62,1994,1994/1995
Wimbledon FC,Justin Skinner,21,Left-Back,Wycombe,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Wimbledon FC,Lawrie Sanchez,34,Central Midfield,Swindon Town,?,Transfer,out,Summer,NA,1994,1994/1995
Wimbledon FC,Paul Miller,26,midfield,Bristol Rovers,?,Transfer,out,Summer,NA,1994,1994/1995
Wimbledon FC,Steve Anthrobus,25,Centre-Forward,Chester City,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Coventry City,Dion Dublin,25,Centre-Forward,Man Utd,€3.00m,Transfer,in,Summer,3,1994,1994/1995
Coventry City,Steven Pressley,20,Centre-Back,Rangers,€900Th.,Transfer,in,Summer,0.9,1994,1994/1995
Coventry City,Cobi Jones,24,Right Winger,Unknown,?,Transfer,in,Summer,NA,1994,1994/1995
Coventry City,Gary Gillespie,34,Centre-Back,Celtic,?,Transfer,in,Summer,NA,1994,1994/1995
Coventry City,Alexander Robertson,23,midfield,Rangers,?,Transfer,in,Summer,NA,1994,1994/1995
Coventry City,Paul Cook,27,Central Midfield,Wolves,?,Transfer,in,Summer,NA,1994,1994/1995
Coventry City,Andrew Ducros,16,Right Winger,Coventry U18,-,Transfer,in,Summer,NA,1994,1994/1995
Coventry City,Iyseden Christie,17,Centre-Forward,Coventry U18,-,Transfer,in,Summer,NA,1994,1994/1995
Coventry City,Brian Borrows,33,Right-Back,Bristol City,"End of loanJun 1, 1994",Loan,in,Summer,NA,1994,1994/1995
Coventry City,Paul Williams,25,defence,Huddersfield,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Coventry City,Phil Babb,23,Centre-Back,Liverpool,€5.43m,Transfer,out,Summer,5.43,1994,1994/1995
Coventry City,Peter Atherton,24,Right-Back,Sheff Wed,€1.15m,Transfer,out,Summer,1.15,1994,1994/1995
Coventry City,John Gayle,30,Centre-Forward,Burnley,€100Th.,Transfer,out,Summer,0.1,1994,1994/1995
Coventry City,Mick Harford,35,Centre-Forward,Wimbledon FC,€55Th.,Transfer,out,Summer,0.055,1994,1994/1995
