club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Chelsea FC,Michael Essien,22,Defensive Midfield,Olympique Lyon,€38.00m,Transfer,in,Summer,38,2005,2005/2006
Chelsea FC,Shaun Wright-Phillips,23,Right Winger,Man City,€31.50m,Transfer,in,Summer,31.5,2005,2005/2006
Chelsea FC,Asier del Horno,24,Left-Back,Athletic,€12.00m,Transfer,in,Summer,12,2005,2005/2006
Chelsea FC,Lassana Diarra,20,Defensive Midfield,AC Le Havre,€4.50m,Transfer,in,Summer,4.5,2005,2005/2006
Chelsea FC,Valerio Di Cesare,22,Centre-Back,UC AlbinoLeffe,"End of loanJun 30, 2005",Loan,in,Summer,NA,2005,2005/2006
Chelsea FC,Hernán Crespo,29,Centre-Forward,AC Milan,"End of loanJun 30, 2005",Loan,in,Summer,NA,2005,2005/2006
Chelsea FC,Joe Keenan,22,Left-Back,Brentford,"End of loanSep 1, 2005",Loan,in,Summer,NA,2005,2005/2006
Chelsea FC,Wayne Bridge,25,Left-Back,Fulham,"End of loanMay 8, 2006",Loan,in,Summer,NA,2005,2005/2006
Chelsea FC,Jiri Jarosik,28,Centre-Back,Birmingham,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
Chelsea FC,Joe Keenan,22,Left-Back,KVC Westerlo,"End of loanJun 30, 2005",Loan,in,Summer,NA,2005,2005/2006
Chelsea FC,Tiago Mendes,24,Central Midfield,Olympique Lyon,€10.10m,Transfer,out,Summer,10.1,2005,2005/2006
Chelsea FC,Scott Parker,24,Central Midfield,Newcastle,€9.50m,Transfer,out,Summer,9.5,2005,2005/2006
Chelsea FC,Mateja Kezman,26,Centre-Forward,Atlético Madrid,€9.00m,Transfer,out,Summer,9,2005,2005/2006
Chelsea FC,Mikael Forssell,24,Centre-Forward,Birmingham,€4.50m,Transfer,out,Summer,4.5,2005,2005/2006
Chelsea FC,Sebastian Kneißl,22,Attacking Midfield,W. Burghausen,free transfer,Transfer,out,Summer,0,2005,2005/2006
Chelsea FC,Valerio Di Cesare,22,Centre-Back,Catanzaro,free transfer,Transfer,out,Summer,0,2005,2005/2006
Chelsea FC,Nuno Morais,21,Defensive Midfield,Marítimo,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Chelsea FC,Steven Watt,20,Centre-Back,Barnsley FC,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Chelsea FC,Joe Keenan,22,Left-Back,Brentford,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Chelsea FC,Jiri Jarosik,27,Centre-Back,Birmingham,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Chelsea FC,Filipe Oliveira,21,Right Winger,Marítimo,?,Transfer,out,Summer,NA,2005,2005/2006
Chelsea FC,Aleksey Smertin,30,Defensive Midfield,Charlton,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Arsenal FC,Aleksandr Hleb,24,Attacking Midfield,VfB Stuttgart,€15.00m,Transfer,in,Summer,15,2005,2005/2006
Arsenal FC,Alex Song,17,Defensive Midfield,SC Bastia,€4.00m,Transfer,in,Summer,4,2005,2005/2006
Arsenal FC,Vito Mannone,17,Goalkeeper,Atalanta U19,€500Th.,Transfer,in,Summer,0.5,2005,2005/2006
Arsenal FC,Mart Poom,33,Goalkeeper,Sunderland,free transfer,Transfer,in,Summer,0,2005,2005/2006
Arsenal FC,Kerrea Gilbert,18,Right-Back,Arsenal U18,-,Transfer,in,Summer,NA,2005,2005/2006
Arsenal FC,Fabrice Muamba,17,Central Midfield,Arsenal U18,-,Transfer,in,Summer,NA,2005,2005/2006
Arsenal FC,Sebastian Svärd,22,Defensive Midfield,Bröndby IF,"End of loanJun 30, 2005",Loan,in,Summer,NA,2005,2005/2006
Arsenal FC,Graham Stack,24,Goalkeeper,Reading,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
Arsenal FC,Jermaine Pennant,22,Right Winger,Birmingham,"End of loanJun 30, 2005",Loan,in,Summer,NA,2005,2005/2006
Arsenal FC,Jérémie Aliadière,23,Centre-Forward,Wolves,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
Arsenal FC,Jérémie Aliadière,22,Centre-Forward,Celtic,"End of loanAug 24, 2005",Loan,in,Summer,NA,2005,2005/2006
Arsenal FC,Patrick Vieira,29,Defensive Midfield,Juventus,€20.00m,Transfer,out,Summer,20,2005,2005/2006
Arsenal FC,Jermaine Pennant,22,Right Winger,Birmingham,€750Th.,Transfer,out,Summer,0.75,2005,2005/2006
Arsenal FC,Daniel Karbassiyoon,20,Left-Back,Burnley,free transfer,Transfer,out,Summer,0,2005,2005/2006
Arsenal FC,Stuart Taylor,24,Goalkeeper,Aston Villa,free transfer,Transfer,out,Summer,0,2005,2005/2006
Arsenal FC,Frank Simek,20,Right-Back,Sheff Wed,free transfer,Transfer,out,Summer,0,2005,2005/2006
Arsenal FC,Edú Gaspar,27,Central Midfield,Valencia,free transfer,Transfer,out,Summer,0,2005,2005/2006
Arsenal FC,Ólafur Ingi Skúlason,22,Defensive Midfield,Brentford,free transfer,Transfer,out,Summer,0,2005,2005/2006
Arsenal FC,Sebastian Svärd,22,Defensive Midfield,Vit. Guimarães,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Arsenal FC,Jérémie Aliadière,22,Centre-Forward,Celtic,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Arsenal FC,Jérémie Aliadière,22,Centre-Forward,West Ham,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Arsenal FC,Justin Hoyte,20,Right-Back,Sunderland,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Arsenal FC,David Bentley,20,Right Midfield,Blackburn,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Arsenal FC,Graham Stack,23,Goalkeeper,Reading,loan transfer,Loan,out,Summer,NA,2005,2005/2006
Manchester United,Ji-sung Park,24,Attacking Midfield,PSV Eindhoven,€7.30m,Transfer,in,Summer,7.3,2005,2005/2006
Manchester United,Edwin van der Sar,34,Goalkeeper,Fulham,€4.00m,Transfer,in,Summer,4,2005,2005/2006
Manchester United,Ben Foster,22,Goalkeeper,Stoke City,€2.00m,Transfer,in,Summer,2,2005,2005/2006
Manchester United,Ritchie Jones,18,Central Midfield,Man Utd U18,-,Transfer,in,Summer,NA,2005,2005/2006
Manchester United,Lee Martin,18,Attacking Midfield,Man Utd U18,-,Transfer,in,Summer,NA,2005,2005/2006
Manchester United,Phil Picken,19,Right-Back,Man Utd U18,-,Transfer,in,Summer,NA,2005,2005/2006
Manchester United,Jonathan Spector,20,Centre-Back,Charlton,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
Manchester United,Ritchie Jones,19,Central Midfield,Royal Antwerp,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
Manchester United,Tom Heaton,20,Goalkeeper,Royal Antwerp,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
Manchester United,Phil Picken,20,Right-Back,Chesterfield FC,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
Manchester United,Liam Miller,25,Central Midfield,Leeds,"End of loanMay 1, 2006",Loan,in,Summer,NA,2005,2005/2006
