club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Aston Villa,Andy Townsend,29,Central Midfield,Chelsea,€2.40m,Transfer,in,Summer,2.4,1993,1993/1994
Aston Villa,Guy Whittingham,28,Centre-Forward,Portsmouth,€1.80m,Transfer,in,Summer,1.8,1993,1993/1994
Aston Villa,Gordon Cowans,34,midfield,Blackburn,free transfer,Transfer,in,Summer,0,1993,1993/1994
Aston Villa,Paul Browne,18,Centre-Back,Aston Villa U18,-,Transfer,in,Summer,NA,1993,1993/1994
Aston Villa,Chris Boden,20,defence,Barnsley FC,"End of loanMay 31, 1994",Loan,in,Summer,NA,1993,1993/1994
Aston Villa,Michael Oakes,20,Goalkeeper,Scarborough Athletic,"End of loanMay 1, 1994",Loan,in,Summer,NA,1993,1993/1994
Aston Villa,Dariusz Kubicki,30,Right-Back,Sunderland,"End of loanMay 31, 1994",Loan,in,Summer,NA,1993,1993/1994
Aston Villa,Guy Whittingham,29,Centre-Forward,Wolves,"End of loanMay 31, 1994",Loan,in,Summer,NA,1993,1993/1994
Aston Villa,Graham Fenton,20,Second Striker,West Brom,"End of loanMay 31, 1994",Loan,in,Summer,NA,1993,1993/1994
Aston Villa,Mark Blake,22,midfield,Portsmouth,€501Th.,Transfer,out,Summer,0.501,1993,1993/1994
Aston Villa,Martin Carruthers,20,Centre-Forward,Stoke City,€420Th.,Transfer,out,Summer,0.42,1993,1993/1994
Aston Villa,Henrik Larsen,27,Attacking Midfield,Waldh. Mannheim,free transfer,Transfer,out,Summer,0,1993,1993/1994
Aston Villa,Cyrille Regis,35,Centre-Forward,Wolves,free transfer,Transfer,out,Summer,0,1993,1993/1994
Aston Villa,Chris Boden,20,defence,Barnsley FC,loan transfer,Loan,out,Summer,NA,1993,1993/1994
Norwich City,Spencer Prior,22,Centre-Back,Southend United,€250Th.,Transfer,in,Summer,0.25,1993,1993/1994
Norwich City,Scott Howie,21,Goalkeeper,Clyde FC,?,Transfer,in,Summer,NA,1993,1993/1994
Norwich City,Ade Akinbiyi,18,Centre-Forward,Norwich U18,-,Transfer,in,Summer,NA,1993,1993/1994
Norwich City,Andy Marshall,18,Goalkeeper,Norwich U18,-,Transfer,in,Summer,NA,1993,1993/1994
Norwich City,Deryn Brace,18,Left-Back,Norwich U18,-,Transfer,in,Summer,NA,1993,1993/1994
Norwich City,Lee Power,21,Centre-Forward,Sunderland,"End of loanOct 14, 1993",Loan,in,Summer,NA,1993,1993/1994
Norwich City,David Phillips,30,Right Midfield,Nottm Forest,€500Th.,Transfer,out,Summer,0.5,1993,1993/1994
Norwich City,Mark Peters,21,defence,Peterborough,free transfer,Transfer,out,Summer,0,1993,1993/1994
Norwich City,Lee Power,21,Centre-Forward,Sunderland,loan transfer,Loan,out,Summer,NA,1993,1993/1994
Norwich City,Lee Power,21,Centre-Forward,Portsmouth,loan transfer,Loan,out,Summer,NA,1993,1993/1994
Oldham Athletic,Ole Björn Sundgot,21,Centre-Forward,Molde,free transfer,Transfer,in,Summer,0,1993,1993/1994
Oldham Athletic,Rick Holden,28,Left Midfield,Man City,?,Transfer,in,Summer,NA,1993,1993/1994
Oldham Athletic,Richard Graham,18,Centre-Back,Unknown,?,Transfer,in,Summer,NA,1993,1993/1994
Oldham Athletic,Paul Rickers,18,midfield,Unknown,?,Transfer,in,Summer,NA,1993,1993/1994
Oldham Athletic,Gary Walsh,25,Goalkeeper,Man Utd,loan transfer,Loan,in,Summer,NA,1993,1993/1994
Oldham Athletic,Andy Barlow,28,Left-Back,Bradford,"End of loanMay 31, 1994",Loan,in,Summer,NA,1993,1993/1994
Oldham Athletic,Ian Marshall,27,Centre-Forward,Ipswich,€1.13m,Transfer,out,Summer,1.13,1993,1993/1994
Oldham Athletic,Tore Pedersen,24,Centre-Back,Brann,?,Transfer,out,Summer,NA,1993,1993/1994
Oldham Athletic,Orpheo Keizerweerd,24,Centre-Forward,Rodez AF,"End of loanJun 30, 1993",Loan,out,Summer,NA,1993,1993/1994
Queens Park Rangers,Steve Yates,23,defence,Bristol Rovers,€820Th.,Transfer,in,Summer,0.82,1993,1993/1994
Queens Park Rangers,Trevor Sinclair,20,Left Winger,Blackpool,?,Transfer,in,Summer,NA,1993,1993/1994
Queens Park Rangers,Danny Dichio,18,Centre-Forward,QPR U18,-,Transfer,in,Summer,NA,1993,1993/1994
Queens Park Rangers,Alan McCarthy,22,defence,Plymouth,"End of loanMay 31, 1994",Loan,in,Summer,NA,1993,1993/1994
Queens Park Rangers,Dennis Bailey,28,attack,Watford,"End of loanMay 31, 1994",Loan,in,Summer,NA,1993,1993/1994
Queens Park Rangers,Andy Sinton,27,Left Midfield,Sheff Wed,€3.35m,Transfer,out,Summer,3.35,1993,1993/1994
Queens Park Rangers,Garry Thompson,33,attack,Cardiff,free transfer,Transfer,out,Summer,0,1993,1993/1994
Queens Park Rangers,Danny Dichio,18,Centre-Forward,Barnet,loan transfer,Loan,out,Summer,NA,1993,1993/1994
Queens Park Rangers,Dennis Bailey,27,attack,Charlton,loan transfer,Loan,out,Summer,NA,1993,1993/1994
Queens Park Rangers,Tony Witter,29,Centre-Back,Millwall,"End of loanSep 13, 1993",Loan,out,Summer,NA,1993,1993/1994
