club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Arsenal FC,Dennis Bergkamp,26,Second Striker,Inter,€11.25m,Transfer,in,Summer,11.25,1995,1995/1996
Arsenal FC,David Platt,29,Attacking Midfield,Sampdoria,€7.10m,Transfer,in,Summer,7.1,1995,1995/1996
Arsenal FC,Roy O'Brien,20,midfield,Unknown,?,Transfer,in,Summer,NA,1995,1995/1996
Arsenal FC,Stephen Hughes,18,Defensive Midfield,Arsenal U18,-,Transfer,in,Summer,NA,1995,1995/1996
Arsenal FC,Paul Shaw,22,Centre-Forward,Peterborough,"End of loanMay 31, 1996",Loan,in,Summer,NA,1995,1995/1996
Arsenal FC,Paul Shaw,22,Centre-Forward,Cardiff,"End of loanOct 20, 1995",Loan,in,Summer,NA,1995,1995/1996
Arsenal FC,Stefan Schwarz,26,Central Midfield,Fiorentina,€2.20m,Transfer,out,Summer,2.2,1995,1995/1996
Arsenal FC,Jimmy Carter,29,Right Winger,Portsmouth,free transfer,Transfer,out,Summer,0,1995,1995/1996
Arsenal FC,Paul Shaw,22,Centre-Forward,Peterborough,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Arsenal FC,Paul Shaw,21,Centre-Forward,Cardiff,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Arsenal FC,Alan Smith,32,Centre-Forward,Retired,-,Transfer,out,Summer,NA,1995,1995/1996
Chelsea FC,Mark Hughes,31,Centre-Forward,Man Utd,€1.90m,Transfer,in,Summer,1.9,1995,1995/1996
Chelsea FC,Ruud Gullit,32,Second Striker,Sampdoria,free transfer,Transfer,in,Summer,0,1995,1995/1996
Chelsea FC,Jody Morris,16,Central Midfield,Chelsea U18,-,Transfer,in,Summer,NA,1995,1995/1996
Chelsea FC,Mark Nicholls,18,Centre-Forward,Chelsea U18,-,Transfer,in,Summer,NA,1995,1995/1996
Chelsea FC,Junior Mendes,18,Attacking Midfield,Chelsea U18,-,Transfer,in,Summer,NA,1995,1995/1996
Chelsea FC,Nick Colgan,22,Goalkeeper,Millwall,"End of loanMay 1, 1996",Loan,in,Summer,NA,1995,1995/1996
Chelsea FC,David Hopkin,24,Right Midfield,Crystal Palace,€1.28m,Transfer,out,Summer,1.28,1995,1995/1996
Chelsea FC,Darren Barnard,23,Left-Back,Bristol City,€200Th.,Transfer,out,Summer,0.2,1995,1995/1996
Chelsea FC,Michael Duberry,19,Centre-Back,Bournemouth,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Chelsea FC,Nick Colgan,21,Goalkeeper,Millwall,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Chelsea FC,Robert Fleck,29,Centre-Forward,Norwich,?,Transfer,out,Summer,NA,1995,1995/1996
Middlesbrough FC,Nick Barmby,21,Left Midfield,Spurs,€7.50m,Transfer,in,Summer,7.5,1995,1995/1996
Middlesbrough FC,Juninho Paulista,22,Attacking Midfield,São Paulo,€5.50m,Transfer,in,Summer,5.5,1995,1995/1996
Middlesbrough FC,Mark Summerbell,18,midfield,Unknown,?,Transfer,in,Summer,NA,1995,1995/1996
Middlesbrough FC,Phil Whelan,22,defence,Ipswich,?,Transfer,in,Summer,NA,1995,1995/1996
Middlesbrough FC,Keith O'Halloran,20,Central Midfield,Scunthorpe Utd.,"End of loanMay 31, 1996",Loan,in,Summer,NA,1995,1995/1996
Middlesbrough FC,Paul Wilkinson,31,Centre-Forward,Luton,"End of loanMay 31, 1996",Loan,in,Summer,NA,1995,1995/1996
Middlesbrough FC,Andy Todd,20,Centre-Back,Bolton,€375Th.,Transfer,out,Summer,0.375,1995,1995/1996
Middlesbrough FC,Stephen Pears,33,Goalkeeper,Liverpool,free transfer,Transfer,out,Summer,0,1995,1995/1996
Middlesbrough FC,Tommy Wright,29,Left Winger,Bradford,free transfer,Transfer,out,Summer,0,1995,1995/1996
Middlesbrough FC,Ben Roberts,20,Goalkeeper,Hartlepool,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Middlesbrough FC,Mark Taylor,20,Left-Back,Fulham,?,Transfer,out,Summer,NA,1995,1995/1996
Middlesbrough FC,Paul Wilkinson,30,Centre-Forward,Oldham Athletic,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Middlesbrough FC,Viv Anderson,38,Right-Back,Retired,-,Transfer,out,Summer,NA,1995,1995/1996
Middlesbrough FC,Uwe Fuchs,28,Centre-Forward,SC Fortuna Köln,"End of loanJun 30, 1995",Loan,out,Summer,NA,1995,1995/1996
Nottingham Forest,Chris Bart-Williams,21,Attacking Midfield,Sheff Wed,€3.75m,Transfer,in,Summer,3.75,1995,1995/1996
Nottingham Forest,Richard Irving,19,attack,Man Utd,€93Th.,Transfer,in,Summer,0.093,1995,1995/1996
Nottingham Forest,Simon Tracey,27,Goalkeeper,Sheff Utd,loan transfer,Loan,in,Summer,NA,1995,1995/1996
Nottingham Forest,Lutz Pfannenstiel,22,Goalkeeper,Wimbledon FC,?,Transfer,in,Summer,NA,1995,1995/1996
Nottingham Forest,Andrea Silenzi,29,Centre-Forward,Torino,?,Transfer,in,Summer,NA,1995,1995/1996
Nottingham Forest,John Finnigan,19,midfield,Nottingham U18,-,Transfer,in,Summer,NA,1995,1995/1996
Nottingham Forest,Steve Blatherwick,22,Centre-Back,Hereford Utd.,"End of loanMay 31, 1996",Loan,in,Summer,NA,1995,1995/1996
Nottingham Forest,Gary Bull,29,attack,Brighton,"End of loanAug 16, 1995",Loan,in,Summer,NA,1995,1995/1996
Nottingham Forest,Kingsley Black,27,Left Midfield,Millwall,"End of loanMay 31, 1996",Loan,in,Summer,NA,1995,1995/1996
Nottingham Forest,Craig Armstrong,20,Left-Back,Bristol Rovers,"End of loanMay 1, 1996",Loan,in,Summer,NA,1995,1995/1996
Nottingham Forest,Stan Collymore,24,Centre-Forward,Liverpool,€13.00m,Transfer,out,Summer,13,1995,1995/1996
Nottingham Forest,Carl Tiler,25,Centre-Back,Aston Villa,€937Th.,Transfer,out,Summer,0.937,1995,1995/1996
Nottingham Forest,Lars Bohinen,26,Central Midfield,Blackburn,€770Th.,Transfer,out,Summer,0.77,1995,1995/1996
Nottingham Forest,Kingsley Black,27,Left Midfield,Millwall,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Nottingham Forest,Gary Bull,29,attack,Brighton,loan transfer,Loan,out,Summer,NA,1995,1995/1996
Nottingham Forest,Gary Bull,29,attack,Brighton,loan transfer,Loan,out,Summer,NA,1995,1995/1996
