club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Manchester United,Anderson,19,Central Midfield,FC Porto,€31.50m,Transfer,in,Summer,31.5,2007,2007/2008
Manchester United,Nani,20,Left Winger,Sporting CP,€25.50m,Transfer,in,Summer,25.5,2007,2007/2008
Manchester United,Owen Hargreaves,26,Defensive Midfield,Bayern Munich,€25.00m,Transfer,in,Summer,25,2007,2007/2008
Manchester United,Carlos Tévez,23,Second Striker,West Ham,Loan fee:€12.70m,Loan,in,Summer,12.7,2007,2007/2008
Manchester United,Tomasz Kuszczak,25,Goalkeeper,West Brom,€4.30m,Transfer,in,Summer,4.3,2007,2007/2008
Manchester United,Danny Simpson,20,Right-Back,Man Utd Res.,-,Transfer,in,Summer,NA,2007,2007/2008
Manchester United,Sam Hewson,18,Central Midfield,Man Utd U18,-,Transfer,in,Summer,NA,2007,2007/2008
Manchester United,Giuseppe Rossi,20,Centre-Forward,Parma,"End of loanJun 30, 2007",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Gerard Piqué,20,Centre-Back,Real Zaragoza,"End of loanJun 30, 2007",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Danny Simpson,21,Right-Back,Ipswich,"End of loanMay 31, 2008",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Lee Martin,21,Attacking Midfield,Sheff Utd,"End of loanMay 1, 2008",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Jonny Evans,20,Centre-Back,Sunderland,"End of loanMay 12, 2008",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Fraizer Campbell,20,Centre-Forward,Hull City,"End of loanMay 31, 2008",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Tim Howard,28,Goalkeeper,Everton,"End of loanJun 30, 2007",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Souleymane Mamam,22,Defensive Midfield,Royal Antwerp,"End of loanJun 30, 2007",Loan,in,Summer,NA,2007,2007/2008
Manchester United,Gabriel Heinze,29,Centre-Back,Real Madrid,€12.00m,Transfer,out,Summer,12,2007,2007/2008
Manchester United,Giuseppe Rossi,20,Centre-Forward,Villarreal,€10.00m,Transfer,out,Summer,10,2007,2007/2008
Manchester United,Alan Smith,26,Central Midfield,Newcastle,€9.00m,Transfer,out,Summer,9,2007,2007/2008
Manchester United,Kieran Richardson,22,Left-Back,Sunderland,€8.20m,Transfer,out,Summer,8.2,2007,2007/2008
Manchester United,Tim Howard,28,Goalkeeper,Everton,€4.20m,Transfer,out,Summer,4.2,2007,2007/2008
Manchester United,Souleymane Mamam,22,Defensive Midfield,Royal Antwerp,free transfer,Transfer,out,Summer,0,2007,2007/2008
Manchester United,Phil Marsh,20,Centre-Forward,Blackpool,free transfer,Transfer,out,Summer,0,2007,2007/2008
Manchester United,Ritchie Jones,20,Central Midfield,Yeovil Town,loan transfer,Loan,out,Summer,NA,2007,2007/2008
